LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts
093_042_00053;35;0;-3.25;17.077;0;-2.1;16.132;0;-3.25;15.623;0;-3.25;14.556;0;-2.158;14.052;0;-2.105;-1;-1;-1;-1;-1;-1;11.824;0;-1.332;11.824;0;-1.332;9.324;0;-1.478;10;0;-1.262;9.758;0;-1.438;8.688;0;-1.54;6.987;0;-2.679;-1;-1;-1;-1;-1;-1;0;0;-2.679
093_042_00054;35;0;-3.25;17.091;0;-2.07;16.132;0;-3.25;15.623;0;-3.25;14.556;0;-2.158;14.052;0;-2.105;-1;-1;-1;-1;-1;-1;11.824;0;-1.332;11.824;0;-1.332;9.324;0;-1.478;10;0;-1.262;9.758;0;-1.438;8.688;0;-1.54;6.987;0;-2.679;-1;-1;-1;-1;-1;-1;0;0;-2.679
093_042_00055;75.71;0;-4.974;54.13;0;-4.804;52.72;0;-5.81;51.45;0;-5.81;50.27;0;-4.81;30.6;0;-4.053;-1;-1;-1;-1;-1;-1;18.47;0;-0.74;18.47;0;-0.74;15.97;0;-0.608;15;0;-0.622;11.62;0;-1.55;10.65;0;-1.51;8.85;0;-2.71;-1;-1;-1;-1;-1;-1;0;0;-2.71
093_042_00056;75.71;0;-4.974;54.13;0;-4.804;52.72;0;-5.81;51.45;0;-5.81;50.558;0;-5.15;28.2;0;-3.776;-1;-1;-1;-1;-1;-1;18.47;0;-0.74;18.28;0;-0.685;15.78;0;-0.611;15;0;-0.622;11.62;0;-1.55;10.65;0;-1.51;8.85;0;-2.71;-1;-1;-1;-1;-1;-1;0;0;-2.71
093_042_00057;75.71;0;-4.974;54.13;0;-4.804;52.72;0;-5.81;51.45;0;-5.81;50.4;0;-4.819;29.708;0;-3.95;-1;-1;-1;-1;-1;-1;18.47;0;-0.74;18.28;0;-0.685;15.78;0;-0.611;15.25;0;-0.622;11.62;0;-1.55;10.65;0;-1.51;8.85;0;-2.71;-1;-1;-1;-1;-1;-1;0;0;-2.71
093_042_00058;73.262;0;-4.63;50.328;0;-4.92;49.3;0;-5.928;48.74;0;-5.927;47.611;0;-4.878;24.836;0;-4.124;-1;-1;-1;-1;-1;-1;13.187;0;-0.826;12.876;0;-0.774;10.376;0;-0.709;10.239;0;-0.709;9.344;0;-1.34;8.061;0;-1.452;6.296;0;-2.617;-1;-1;-1;-1;-1;-1;0;0;-2.617
093_042_00059;73.67;0;-4.508;54.83;0;-5.505;51.69;0;-6.94;50.72;0;-6.94;48.46;0;-5.088;27.87;0;-4.265;-1;-1;-1;-1;-1;-1;13.83;0;-0.968;13.49;0;-1.006;10.99;0;-0.939;10.56;0;-0.885;-1;-1;-1;-1;-1;-1;7.62;0;-2.424;-1;-1;-1;-1;-1;-1;0;0;-2.424
093_042_00060;73.67;0;-4.508;55.71;0;-5.336;51.69;0;-6.94;50.72;0;-6.94;47.46;0;-4.507;27.87;0;-4.265;-1;-1;-1;-1;-1;-1;13.83;0;-0.968;13.83;0;-0.968;11.33;0;-0.949;10.56;0;-0.885;-1;-1;-1;-1;-1;-1;7.62;0;-2.424;-1;-1;-1;-1;-1;-1;0;0;-2.424
093_042_00061;73.67;0;-4.508;55.71;0;-5.336;52.061;0;-6.6;50.72;0;-6.94;48.694;0;-5.25;27.87;0;-4.265;-1;-1;-1;-1;-1;-1;13.83;0;-0.968;13.49;0;-1.006;10.99;0;-0.939;10.56;0;-0.885;-1;-1;-1;-1;-1;-1;7.62;0;-2.424;-1;-1;-1;-1;-1;-1;0;0;-2.424
093_042_00062;73.7;0;-4.215;53.66;0;-4.93;50.17;0;-6.9;50.16;0;-6.9;46.73;0;-4.765;29.4;0;-4.262;-1;-1;-1;-1;-1;-1;14.95;0;-0.795;14.95;0;-0.795;12.45;0;-0.703;9.77;0;-0.906;-1;-1;-1;-1;-1;-1;7.09;0;-2.547;-1;-1;-1;-1;-1;-1;0;0;-2.547
093_042_00063;149.459;0;-4.96;70.491;0;-5.26;67.546;0;-6.916;61.191;0;-6.921;57.741;0;-4.923;25.079;0;-3.969;-1;-1;-1;-1;-1;-1;13.956;0;-1.128;13.956;0;-1.128;11.456;0;-1.002;9.735;0;-1.189;-1;-1;-1;-1;-1;-1;7.619;0;-2.746;-1;-1;-1;-1;-1;-1;0;0;-2.746
093_042_00064;57.901;0;-4.488;49.012;0;-4.68;48.701;0;-6.485;47.442;0;-6.528;45.765;0;-4.725;25.606;0;-3.769;-1;-1;-1;-1;-1;-1;14.179;0;-1.399;13.41;0;-1.241;10.91;0;-1.138;10;0;-1.174;-1;-1;-1;-1;-1;-1;7.696;0;-2.5;-1;-1;-1;-1;-1;-1;0;0;-2.552
093_042_00065;57.901;0;-4.488;49.248;0;-4.684;48.701;0;-6.485;47.442;0;-6.528;46.005;0;-4.96;25.606;0;-3.769;-1;-1;-1;-1;-1;-1;13.41;0;-1.241;13.41;0;-1.241;10.91;0;-1.138;10;0;-1.174;-1;-1;-1;-1;-1;-1;7.696;0;-2.5;-1;-1;-1;-1;-1;-1;0;0;-2.552
093_042_00066;79.78;0;-4.463;52.24;0;-4.723;51.31;0;-5.703;49.92;0;-5.697;48.75;0;-4.658;21.92;0;-3.594;-1;-1;-1;-1;-1;-1;14.72;0;-1.388;14.24;0;-1.323;11.74;0;-1.174;10;0;-1.051;-1;-1;-1;-1;-1;-1;7.03;0;-2.74;-1;-1;-1;-1;-1;-1;0;0;-2.74
093_042_00067;67.636;0;-4.983;53.038;0;-4.985;51.834;0;-6.278;50.477;0;-6.217;48.954;0;-5.083;25.634;0;-3.579;-1;-1;-1;-1;-1;-1;13.132;0;-1.3;12.05;0;-1.121;9.55;0;-1.203;9.55;0;-1.203;-1;-1;-1;-1;-1;-1;6.941;0;-2.714;-1;-1;-1;-1;-1;-1;0;0;-2.714
093_042_00068;68.689;0;-4.81;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;27.63;0;-3.718;-1;-1;-1;-1;-1;-1;19.416;0;-0.699;18.339;0;-0.6;15.839;0;-0.496;10;0;-0.716;-1;-1;-1;-1;-1;-1;6.782;0;-2.375;-1;-1;-1;-1;-1;-1;0;0;-2.375
093_042_00069;53.983;0;-4.894;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;33.985;0;-4.503;-1;-1;-1;-1;-1;-1;13.858;0;-1.15;13.858;0;-1.15;11.358;0;-1.069;7.192;0;-1.19;-1;-1;-1;-1;-1;-1;5.392;0;-2.39;-1;-1;-1;-1;-1;-1;0;0;-2.39
093_042_00070;64.54;0;-4.28;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;62.58;0;-3.92;48.96;0;-2.3;39.88;0;-1.85;26.26;0;-0.95;26.26;0;-0.95;23.76;0;-0.84;19.45;0;-0.9;-1;-1;-1;-1;-1;-1;13.65;0;-2.72;-1;-1;-1;-1;-1;-1;0;0;-2.72
093_042_00071;77.112;0;-4.934;53.381;0;-5.171;50.153;0;-6.83;49.541;0;-6.956;46.904;0;-5.33;41.837;0;-4.5;-1;-1;-1;-1;-1;-1;14.893;0;-1.082;14.519;0;-1.079;12.019;0;-1.091;8.144;0;-1.172;-1;-1;-1;-1;-1;-1;5.6;0;-2.763;-1;-1;-1;-1;-1;-1;0;0;-2.763
093_042_00072;65;0;-7.629;53.77;0;-5.413;52.918;0;-6.936;43.678;0;-6.938;42.462;0;-5.869;36.268;0;-5.021;27.507;0;-3.179;22.932;0;-2.974;11.465;0;-0.944;11.465;0;-0.944;8.965;0;-1.118;10;0;-0.947;-1;-1;-1;-1;-1;-1;5.989;0;-2.75;-1;-1;-1;-1;-1;-1;0;0;-2.75
093_042_00073;69.975;0;-5.388;50.421;0;-5.675;48.252;0;-6.9;47.055;0;-6.9;45.837;0;-5.881;27.866;0;-4.644;-1;-1;-1;-1;-1;-1;14.41;0;-1.378;13.33;0;-1.294;10.83;0;-1.305;10.336;0;-1.375;-1;-1;-1;-1;-1;-1;8.241;0;-2.627;-1;-1;-1;-1;-1;-1;0;0;-2.627
093_042_00074;65;0;-7.629;53.681;0;-5.54;52.918;0;-6.936;43.678;0;-6.938;42.462;0;-5.869;36.268;0;-5.021;29.327;0;-3.511;22.932;0;-2.974;12.777;0;-1.164;11.465;0;-0.944;8.965;0;-1.118;9.211;0;-1.069;-1;-1;-1;-1;-1;-1;5.989;0;-2.75;-1;-1;-1;-1;-1;-1;0;0;-2.75
093_042_00075;69.975;0;-5.388;50.421;0;-5.675;48.252;0;-6.9;47.055;0;-6.9;45.403;0;-5.789;29.646;0;-4.842;-1;-1;-1;-1;-1;-1;14.41;0;-1.378;13.875;0;-1.308;11.375;0;-1.297;10;0;-1.427;-1;-1;-1;-1;-1;-1;8.241;0;-2.627;-1;-1;-1;-1;-1;-1;0;0;-2.627
093_042_00076;65;0;-7.629;53.77;0;-5.413;52.918;0;-6.936;43.678;0;-6.938;42.462;0;-5.869;36.268;0;-5.021;28.341;0;-3.364;22.932;0;-2.974;11.465;0;-0.944;11.465;0;-0.944;8.965;0;-1.118;9.211;0;-1.069;-1;-1;-1;-1;-1;-1;5.989;0;-2.75;-1;-1;-1;-1;-1;-1;0;0;-2.75
093_042_00077;65;0;-7.629;53.77;0;-5.413;52.918;0;-6.936;43.678;0;-6.938;42.462;0;-5.869;42.462;0;-5.869;24.627;0;-2.935;22.932;0;-2.974;11.465;0;-0.944;11.465;0;-0.944;8.965;0;-1.118;10;0;-0.947;-1;-1;-1;-1;-1;-1;5.989;0;-2.75;-1;-1;-1;-1;-1;-1;0;0;-2.75
